# Telegram
"Дата","Просмотры","Реакции","Репосты","Комментарии","Посты"

# Сообщества VK
"Дата","Просмотры","Лайки","Комментарии","Репосты","Посты"
2026-06-04,178583,36,13,1,1
2026-06-05,64539,1262,132,543,3
2026-06-06,1202596,1295,84,139,3
2026-06-07,3015673,2215,217,192,3
2026-06-08,550334,486,57,35,1
2026-06-10,282819,115,23,44,2
