# Telegram
"Дата","Просмотры","Реакции","Репосты","Комментарии","Посты"
2026-06-06,4,1,0,0,2
2026-06-08,5,0,0,0,2

# Сообщества VK
"Дата","Просмотры","Лайки","Комментарии","Репосты","Посты"
2026-06-04,178761,38,13,1,1
2026-06-05,65787,1268,138,544,3
2026-06-06,1249803,1410,88,151,3
2026-06-07,3152490,2385,230,205,3
2026-06-08,608499,566,64,42,1
2026-06-10,15539,95,53,8,1
