# Telegram
"Дата","Просмотры","Реакции","Репосты","Комментарии","Посты"
2026-05-11,12,1,1,0,6
2026-05-12,3,1,0,0,3

# Сообщества VK
"Дата","Просмотры","Лайки","Комментарии","Репосты","Посты"
