# Telegram
"Дата","Просмотры","Реакции","Репосты","Комментарии","Посты"
2026-06-08,5,0,0,0,2

# Сообщества VK
"Дата","Просмотры","Лайки","Комментарии","Репосты","Посты"
2026-06-08,761606,782,76,61,1
2026-06-10,420307,283,107,77,2
2026-06-11,190644,35,22,3,1
2026-06-12,59989,644,90,231,3
2026-06-13,1994077,1453,140,69,2
2026-06-14,586359,451,52,37,2
